t_uid,mr_id,tstamp,anomalous,expected,max,min,value
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 13:05:00.000+0000,False,44.510244690607,51.96928333925,37.080537251788,43.142857142857
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 13:10:00.000+0000,False,44.51016778391,51.968360173735,37.081229625925,44.466666666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 13:15:00.000+0000,False,44.51016778391,51.968360173735,37.081229625925,44.466666666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 13:20:00.000+0000,False,44.51016778391,51.968360173735,37.081229625925,43.266666666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 13:25:00.000+0000,False,44.51016778391,51.968360173735,37.081229625925,45
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 13:30:00.000+0000,False,44.51016778391,51.968360173735,37.081229625925,43.933333333333
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 13:35:00.000+0000,False,44.51016778391,51.968360173735,37.081229625925,44.2
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 13:40:00.000+0000,False,44.510244684946,51.968360173735,37.081229625925,44.6
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 13:45:00.000+0000,False,44.510244684946,51.969283340578,37.080537250792,46.6
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 13:50:00.000+0000,False,44.510244690607,51.969282667433,37.080537755651,45.666666666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 13:55:00.000+0000,False,44.510244690607,51.969282667433,37.080537755651,45.066666666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 14:00:00.000+0000,False,44.51016778391,51.968360173735,37.081229625925,43.133333333333
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 14:05:00.000+0000,False,44.51016778391,51.968360173735,37.081229625925,44.2
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 14:10:00.000+0000,False,44.51016778391,51.968360173735,37.081229625925,42.6
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 14:15:00.000+0000,False,44.51016778391,51.968360173735,37.081229625925,43.466666666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 14:20:00.000+0000,False,44.51016778391,51.968360173735,37.081229625925,44.466666666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 14:25:00.000+0000,False,44.51016778391,51.968360173735,37.081229625925,43.533333333333
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 14:30:00.000+0000,False,44.51016778391,51.968360173735,37.081229625925,44.2
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 14:35:00.000+0000,False,44.51016778391,51.968360173735,37.081229625925,42
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 14:40:00.000+0000,False,44.51016778391,51.968360173735,37.081229625925,43.428571428571
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 14:45:00.000+0000,False,44.51016778391,51.968360173735,37.081229625925,43.8
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 14:50:00.000+0000,False,44.51016778391,51.968360173735,37.081229625925,43.866666666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 14:55:00.000+0000,False,44.51016778391,51.969282675834,37.08053774935,45.6
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 15:00:00.000+0000,False,44.51016778391,51.968360173735,37.081229625925,43.733333333333
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 15:05:00.000+0000,False,44.51016778391,51.968360173735,37.081229625925,44.133333333333
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 15:10:00.000+0000,False,44.510244690607,51.968360173735,37.081229625925,45.266666666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 15:15:00.000+0000,False,44.510244690607,51.968360173735,37.081229625925,44.866666666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,0acf99e5-758b-3d3f-8d8d-6c159322009d,2022-06-24 15:20:00.000+0000,False,44.510244684946,51.968360173735,37.081229625925,44.916666666667
